#id, title, type, firstBegin, firstEnd, secondBegin, secondEnd, repeat/step, reserve, flag 
0  , header         , 0    , 0    , 1    , 0    , 0    , 1    , 0    , byte
1  , feeUN          , 0    , 2    , 3    , 0    , 0    , 1    , 0    , byte
2  , timeStamp      , 1    , 17   , 17   , 4    , 5    , 1    , 0    , byte
3  , status         , 0    , 6    , 7    , 0    , 0    , 1    , 0    , byte
4  , triggerBit     , 0    , 8    , 15   , 0    , 0    , 64   , 0    , byte
5  , rate           , 0    , 18   , 19   , 0    , 0    , 1    , 0    , byte
6  , deadTime       , 0    , 20   , 21   , 0    , 0    , 1    , 0    , byte
7  , commonNoise    , 0    , 180  , 191  , 0    , 0    , 1    , 0    , bit
8  , posEnergyCH    , 2    , 192  , 230  , 0    , 0    , 0    , 0    , bit
9  , crc16          , 0    , 0    , 0    , 0    , 0    , 0    , #    , byte
10 , tail           , 0    , 0    , 0    , 0    , 0    , 0    , #    , byte
