#id, title, type, firstBegin, firstEnd, secondBegin, secondEnd, repeat/step, reserve, flag 
0  , mainHeader     , 0    , 0    , 1    , 0    , 0    , 1    , 0    , byte
1  , seqIndex       , 0    , 2    , 3    , 0    , 0    , 1    , 0    , byte
2  , length         , 0    , 4    , 5    , 0    , 0    , 1    , 0    , byte
3  , hkHeader       , 0    , 6    , 9    , 0    , 0    , 1    , 0    , byte
4  , packetTag      , 0    , 10   , 11   , 0    , 0    , 1    , 0    , byte
5  , shipTime       , 0    , 12   , 17   , 0    , 0    , 1    , 0    , byte
6  , cmdFdbkErr1    , 0    , 18   , 19   , 0    , 0    , 1    , 0    , byte
7  , cmdFdbkErr2    , 0    , 20   , 21   , 0    , 0    , 1    , 0    , byte
8  , frameHeader    , 0    , 22   , 23   , 0    , 0    , 1    , 0    , byte
9  , cmdFrameHeader , 0    , 24   , 25   , 0    , 0    , 1    , 0    , byte
10 , cmdNum         , 0    , 26   , 27   , 0    , 0    , 1    , 0    , byte
11 , cmdCode        , 0    , 28   , 29   , 0    , 0    , 1    , 0    , byte
12 , cmdArg1        , 0    , 30   , 31   , 0    , 0    , 1    , 0    , byte
13 , cmdArg2        , 0    , 32   , 33   , 0    , 0    , 1    , 0    , byte
14 , oboxFrmHeader  , 0    , 34   , 35   , 0    , 0    , 1    , 0    , byte
15 , oboxPktNum     , 0    , 36   , 37   , 0    , 0    , 1    , 0    , byte
16 , oboxTmStamp    , 0    , 38   , 41   , 0    , 0    , 1    , 0    , byte
17 , oboxOptMode    , 0    , 336  , 339  , 0    , 0    , 1    , 0    , bit
18 , ctCPUStatus    , 0    , 340  , 351  , 0    , 0    , 1    , 0    , bit
19 , ctTRIGStatus   , 0    , 44   , 44   , 0    , 0    , 1    , 0    , byte
20 , ctCOMStatus    , 0    , 45   , 45   , 0    , 0    , 1    , 0    , byte
21 , ctTemperature  , 0    , 46   , 47   , 0    , 0    , 1    , 0    , byte
22 , sensorChTemp   , 0    , 48   , 49   , 0    , 0    , 1    , 0    , byte
23 , reservedInfo   , 0    , 50   , 51   , 0    , 0    , 1    , 0    , byte
24 , lvPowerStatus  , 0    , 52   , 53   , 0    , 0    , 1    , 0    , byte
25 , fesFlxPowered  , 0    , 54   , 57   , 0    , 0    , 1    , 0    , byte
26 , lvPowerTemp    , 0    , 58   , 59   , 0    , 0    , 1    , 0    , byte
27 , hvPWMsetting   , 0    , 60   , 61   , 0    , 0    , 1    , 0    , byte
28 , hvpsStatus     , 0    , 62   , 63   , 0    , 0    , 1    , 0    , byte
29 , hvCurReadout1  , 0    , 64   , 65   , 0    , 0    , 1    , 0    , byte
30 , hvCurReadout2  , 0    , 66   , 65   , 0    , 0    , 1    , 0    , byte
31 , DtctStts1_18   , 3    , 68   , 247  , 0    , 0    , 18   , #    , byte
32 , oboxHKhdcnt    , 0    , 248  , 248  , 0    , 0    , 1    , 0    , byte
33 , oboxHKtlcnt    , 0    , 249  , 249  , 0    , 0    , 1    , 0    , byte
34 , iboxTime       , 0    , 250  , 255  , 0    , 0    , 1    , 0    , byte
35 , crc32          , 0    , 256  , 259  , 0    , 0    , 1    , 0    , byte
