#id, title, type, firstBegin, firstEnd, secondBegin, secondEnd, repeat/step, reserve, flag 
0  , header         , 0    , 0    , 1    , 0    , 0    , 1    , 0    , byte
1  , eventType      , 0    , 2    , 3    , 0    , 0    , 1    , 0    , byte
2  , timeStamp      , 0    , 4    , 7    , 0    , 0    , 1    , 0    , byte
3  , status         , 0    , 8    , 9    , 0    , 0    , 1    , 0    , byte
4  , packetNum      , 0    , 10   , 11   , 0    , 0    , 1    , 0    , byte
5  , trigSigCons    , 0    , 12   , 36   , 0    , 0    , 25   , 0    , byte
6  , trigAccepted   , 0    , 296  , 320  , 0    , 0    , 25   , 0    , bit
7  , trigRejected   , 0    , 321  , 345  , 0    , 0    , 25   , 0    , bit
8  , dabb           , 0    , 44   , 45   , 0    , 0    , 1    , 0    , byte
9  , ad00           , 0    , 46   , 47   , 0    , 0    , 1    , 0    , byte
10 , crc16          , 0    , 48   , 49   , 0    , 0    , 1    , 0    , byte
